Description,Price,Rating,Url
As a Man Thinketh,₹59,4.4 out of 5 stars,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=sr_1_9?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-9&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,₹299,4.5 out of 5 stars,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sr_1_10?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-10&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Five Love Languages,₹210,4.7 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00726191BJXBZU62794S&url=%2FFive-Love-Languages-Gary-Chapman%2Fdp%2F8179928268%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833669%26sr%3D8-11-spons%26psc%3D1&qualifier=1637833669&id=759650410991511&widgetName=sp_mtf
Wake Up! You’re Alive,₹99,4.1 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A044528726NIZ2N52HTHT&url=%2FWake-Youre-Alive-Barry-Arnold%2Fdp%2F9389931908%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833669%26sr%3D8-12-spons%26psc%3D1&qualifier=1637833669&id=759650410991511&widgetName=sp_mtf
"Good Vibes, Good Life: How Self-love Is the Key to Unlocking Your Greatness",₹259,4.6 out of 5 stars,https://www.amazon.in/Good-Vibes-Life-Self-love-Unlocking/dp/9386832836/ref=sr_1_13?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-13&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,₹320,4.6 out of 5 stars,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sr_1_14?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-14&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Be Your Own Sunshine,₹96.25,4.3 out of 5 stars,https://www.amazon.in/Your-Own-Sunshine-James-Allen/dp/9387022854/ref=sr_1_15?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-15&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
"Memory: How To Develop, Train, And Use It",₹99,4.2 out of 5 stars,https://www.amazon.in/Memory-How-Develop-Train-Use/dp/9389053811/ref=sr_1_16?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-16&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Psychology of Money,₹287,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=sr_1_17?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-17&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER | Must-read book on Spirituality & Self-improvement | Penguin Self help books",₹148,4.7 out of 5 stars,https://www.amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=sr_1_18?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-18&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Everyday Hero Manifesto,₹299,4.5 out of 5 stars,https://www.amazon.in/Everyday-Hero-Manifesto-Robin-Sharma/dp/9391019749/ref=sr_1_19?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-19&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,₹220,4.6 out of 5 stars,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=sr_1_20?keywords=self+help+book&qid=1637833669&qsid=262-9739643-3819539&sr=8-20&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
You Can,₹106,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00174132FVV6QDWXLCQV&url=%2FYou-Can-George-Matthew-Adams%2Fdp%2F9389931843%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833669%26sr%3D8-21-spons%26psc%3D1&qualifier=1637833669&id=759650410991511&widgetName=sp_btf
The Psychology of Money,₹287,4.6 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01451583B82K5U3Y9UWH&url=%2FPsychology-Money-Morgan-Housel%2Fdp%2F9390166268%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833669%26sr%3D8-22-spons%26psc%3D1&qualifier=1637833669&id=759650410991511&widgetName=sp_btf
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,₹299,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02599852KPO7H08VIZ5M&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9389432014%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833673%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1637833673&id=1467686414427633&widgetName=sp_atf
The Power of Your Subconscious Mind (DELUXE HARDBOUND EDITION),₹399,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07643383QRGSHJYA08W&url=%2FPower-Your-Subconscious-DELUXE-HARDBOUND%2Fdp%2F9389717345%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833673%26sr%3D8-2-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1637833673&id=1467686414427633&widgetName=sp_atf
Ikigai: The Japanese secret to a long and happy life,₹313,4.6 out of 5 stars,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sr_1_3?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-3&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,₹325,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=sr_1_4?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-4&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,₹99,4.4 out of 5 stars,https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952/ref=sr_1_5?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-5&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Attitude Is Everything: Change Your Attitude ... Change Your Life!,₹157,4.5 out of 5 stars,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=sr_1_6?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-6&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Deep Work: Rules for Focused Success in a Distracted World,₹297,4.5 out of 5 stars,https://www.amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=sr_1_7?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-7&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Atomic Habits: The life-changing million copy bestseller,₹445,4.6 out of 5 stars,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=sr_1_8?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-8&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
As a Man Thinketh,₹59,4.4 out of 5 stars,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=sr_1_9?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-9&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,₹299,4.5 out of 5 stars,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sr_1_10?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-10&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Five Love Languages,₹210,4.7 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00726191BJXBZU62794S&url=%2FFive-Love-Languages-Gary-Chapman%2Fdp%2F8179928268%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833673%26sr%3D8-11-spons%26psc%3D1&qualifier=1637833673&id=1467686414427633&widgetName=sp_mtf
Wake Up! You’re Alive,₹99,4.1 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A044528726NIZ2N52HTHT&url=%2FWake-Youre-Alive-Barry-Arnold%2Fdp%2F9389931908%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833673%26sr%3D8-12-spons%26psc%3D1&qualifier=1637833673&id=1467686414427633&widgetName=sp_mtf
"Good Vibes, Good Life: How Self-love Is the Key to Unlocking Your Greatness",₹259,4.6 out of 5 stars,https://www.amazon.in/Good-Vibes-Life-Self-love-Unlocking/dp/9386832836/ref=sr_1_13?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-13&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,₹320,4.6 out of 5 stars,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sr_1_14?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-14&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Be Your Own Sunshine,₹96.25,4.3 out of 5 stars,https://www.amazon.in/Your-Own-Sunshine-James-Allen/dp/9387022854/ref=sr_1_15?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-15&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
"Memory: How To Develop, Train, And Use It",₹99,4.2 out of 5 stars,https://www.amazon.in/Memory-How-Develop-Train-Use/dp/9389053811/ref=sr_1_16?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-16&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Psychology of Money,₹287,4.6 out of 5 stars,https://www.amazon.in/Psychology-Money-Morgan-Housel/dp/9390166268/ref=sr_1_17?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-17&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER | Must-read book on Spirituality & Self-improvement | Penguin Self help books",₹148,4.7 out of 5 stars,https://www.amazon.in/Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=sr_1_18?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-18&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Everyday Hero Manifesto,₹299,4.5 out of 5 stars,https://www.amazon.in/Everyday-Hero-Manifesto-Robin-Sharma/dp/9391019749/ref=sr_1_19?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-19&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,₹220,4.6 out of 5 stars,https://www.amazon.in/Almanack-Naval-Ravikant-Wealth-Happiness/dp/9354893899/ref=sr_1_20?keywords=self+help+book&qid=1637833673&qsid=262-9739643-3819539&sr=8-20&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
You Can,₹106,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00174132FVV6QDWXLCQV&url=%2FYou-Can-George-Matthew-Adams%2Fdp%2F9389931843%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833673%26sr%3D8-21-spons%26psc%3D1&qualifier=1637833673&id=1467686414427633&widgetName=sp_btf
The Psychology of Money,₹287,4.6 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01451583B82K5U3Y9UWH&url=%2FPsychology-Money-Morgan-Housel%2Fdp%2F9390166268%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833673%26sr%3D8-22-spons%26psc%3D1&qualifier=1637833673&id=1467686414427633&widgetName=sp_btf
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,₹299,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02599852KPO7H08VIZ5M&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9389432014%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833677%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1637833677&id=4120013470346756&widgetName=sp_atf
The Power of Your Subconscious Mind (DELUXE HARDBOUND EDITION),₹399,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07643383QRGSHJYA08W&url=%2FPower-Your-Subconscious-DELUXE-HARDBOUND%2Fdp%2F9389717345%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833677%26sr%3D8-2-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1637833677&id=4120013470346756&widgetName=sp_atf
Ikigai: The Japanese secret to a long and happy life,₹313,4.6 out of 5 stars,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sr_1_3?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-3&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,₹325,4.5 out of 5 stars,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=sr_1_4?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-4&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,₹99,4.4 out of 5 stars,https://www.amazon.in/How-Stop-Worrying-Start-Living/dp/8175993952/ref=sr_1_5?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-5&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Attitude Is Everything: Change Your Attitude ... Change Your Life!,₹157,4.5 out of 5 stars,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=sr_1_6?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-6&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Deep Work: Rules for Focused Success in a Distracted World,₹297,4.5 out of 5 stars,https://www.amazon.in/Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=sr_1_7?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-7&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
Atomic Habits: The life-changing million copy bestseller,₹445,4.6 out of 5 stars,https://www.amazon.in/Atomic-Habits-James-Clear/dp/1847941834/ref=sr_1_8?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-8&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
As a Man Thinketh,₹59,4.4 out of 5 stars,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=sr_1_9?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-9&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,₹299,4.5 out of 5 stars,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sr_1_10?keywords=self+help+book&qid=1637833677&qsid=262-9739643-3819539&sr=8-10&sres=178633089X%2C0062641549%2C8175993952%2C9351772071%2C0349413681%2C1847941834%2C9386538172%2C9389432014%2C9386832836%2C0008386595%2C9387022854%2C9389053811%2C9390166268%2C0143452673%2C9391019749%2C9354893899&srpt=ABIS_BOOK
The Five Love Languages,₹210,4.7 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00726191BJXBZU62794S&url=%2FFive-Love-Languages-Gary-Chapman%2Fdp%2F8179928268%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dself%2Bhelp%2Bbook%26qid%3D1637833677%26sr%3D8-11-spons%26psc%3D1&qualifier=1637833677&id=4120013470346756&widgetName=sp_mtf
